Frame	Time	Elec	VdW	Nonbond
0	0	-202.626	-175.625	-378.251
1	0.2	-205.755	-179.182	-384.937
2	0.4	-192.409	-186.101	-378.511
3	0.6	-207.268	-175.386	-382.654
4	0.8	-239.982	-160.588	-400.57
5	1	-130.928	-165.624	-296.552
6	1.2	-170.334	-177.852	-348.186
7	1.4	-133.81	-186.599	-320.409
8	1.6	-290.595	-160.712	-451.307
9	1.8	-253.547	-183.352	-436.899
10	2	-244.809	-168.637	-413.445
11	2.2	-238.953	-161.05	-400.003
12	2.4	-211.603	-171.142	-382.744
13	2.6	-251.86	-179.834	-431.694
14	2.8	-219.579	-176.73	-396.309
15	3	-198.874	-184.362	-383.236
16	3.2	-206.917	-176.986	-383.903
17	3.4	-268.925	-183.033	-451.958
18	3.6	-280.196	-189.99	-470.186
19	3.8	-295.29	-184.651	-479.941
20	4	-302.868	-185.644	-488.512
21	4.2	-265.007	-178.808	-443.816
22	4.4	-209.062	-184.203	-393.264
23	4.6	-236.989	-195.286	-432.275
24	4.8	-214.375	-189.184	-403.558
25	5	-254.927	-191.929	-446.856
26	5.2	-222.977	-188.198	-411.174
27	5.4	-243.677	-178.991	-422.668
28	5.6	-263.175	-190.417	-453.592
29	5.8	-219.086	-203.286	-422.372
30	6	-232.795	-191.814	-424.609
31	6.2	-196.216	-194.904	-391.12
32	6.4	-270.754	-192.634	-463.388
33	6.6	-206.515	-198.786	-405.301
34	6.8	-320.85	-182.466	-503.316
35	7	-345.575	-185.193	-530.768
36	7.2	-269.126	-190.69	-459.816
37	7.4	-314.697	-185.478	-500.175
38	7.6	-326.999	-178.909	-505.908
39	7.8	-238.62	-185.924	-424.544
40	8	-189.738	-193.617	-383.355
41	8.2	-226.868	-212.223	-439.09
42	8.4	-255.326	-198.763	-454.089
43	8.6	-369.853	-189.461	-559.314
44	8.8	-303	-205.288	-508.288
45	9	-310.499	-183.183	-493.682
46	9.2	-369.916	-192.222	-562.138
47	9.4	-319.408	-178.694	-498.102
48	9.6	-287.193	-195.166	-482.359
49	9.8	-292.449	-182.187	-474.637
50	10	-278.791	-177.237	-456.028
51	10.2	-334.342	-172.838	-507.18
52	10.4	-324.796	-205.101	-529.897
53	10.6	-300.473	-207.856	-508.329
54	10.8	-294.852	-206.481	-501.332
55	11	-376.919	-207.25	-584.17
56	11.2	-400.301	-216.091	-616.392
57	11.4	-364.172	-219.747	-583.919
58	11.6	-315.587	-204.482	-520.068
59	11.8	-347.543	-198.477	-546.019
60	12	-395.364	-221.85	-617.214
61	12.2	-416.339	-208.734	-625.073
62	12.4	-372.902	-201.144	-574.045
63	12.6	-435.78	-187.73	-623.51
64	12.8	-417.457	-199.883	-617.34
65	13	-363.79	-185.075	-548.865
66	13.2	-361.822	-191.208	-553.03
67	13.4	-423.425	-210.048	-633.473
68	13.6	-545.927	-200.085	-746.012
69	13.8	-477.485	-183.945	-661.43
70	14	-409.55	-191.783	-601.333
71	14.2	-426.047	-182.112	-608.159
72	14.4	-395.775	-169.512	-565.287
73	14.6	-343.617	-182.333	-525.95
74	14.8	-419.102	-167.518	-586.62
75	15	-369.937	-184.925	-554.862
76	15.2	-265.558	-176.36	-441.918
77	15.4	-355.84	-189.589	-545.429
78	15.6	-343.357	-185.262	-528.619
79	15.8	-441.244	-185.654	-626.897
80	16	-423.84	-176.483	-600.323
81	16.2	-400.941	-193.636	-594.577
82	16.4	-362.62	-185.947	-548.567
83	16.6	-352.916	-201.038	-553.955
84	16.8	-359.356	-163.217	-522.573
85	17	-336.486	-184.617	-521.102
86	17.2	-368.853	-192.158	-561.011
87	17.4	-305.833	-198.182	-504.015
88	17.6	-322.278	-183.633	-505.911
89	17.8	-281.87	-200.001	-481.872
90	18	-387.433	-180.227	-567.66
91	18.2	-354.397	-176.447	-530.843
92	18.4	-357.176	-183.456	-540.632
93	18.6	-354.313	-174.992	-529.305
