Frame	Time	Elec	VdW	Nonbond	Total
0	0	-427.997	71.7359	-356.261	-356.261
1	0.2	-505.381	55.5232	-449.857	-449.857
2	0.4	-483.198	69.0295	-414.169	-414.169
3	0.6	-487.748	298.978	-188.77	-188.77
4	0.8	-369.405	149.764	-219.64	-219.64
5	1	-392.011	248.862	-143.149	-143.149
6	1.2	-468.167	189.456	-278.711	-278.711
7	1.4	-423.818	386.185	-37.6324	-37.6324
8	1.6	-480.345	266.278	-214.067	-214.067
9	1.8	-493.692	-2.6052	-496.297	-496.297
10	2	-477.852	18.2554	-459.597	-459.597
11	2.2	-403.322	318.756	-84.5659	-84.5659
12	2.4	-479.751	98.812	-380.939	-380.939
13	2.6	-535.062	302.378	-232.684	-232.684
14	2.8	-589.475	260.276	-329.198	-329.198
15	3	-513.288	181.119	-332.169	-332.169
16	3.2	-607.432	242.566	-364.866	-364.866
17	3.4	-541.532	-39.8332	-581.366	-581.366
18	3.6	-502.336	260.006	-242.33	-242.33
19	3.8	-529.625	535.491	5.8658	5.8658
20	4	-537.433	683.065	145.632	145.632
21	4.2	-490.455	274.169	-216.285	-216.285
22	4.4	-344.167	167.75	-176.417	-176.417
23	4.6	-479.988	97.7741	-382.214	-382.214
24	4.8	-417.058	179.725	-237.333	-237.333
25	5	-535.26	152.423	-382.838	-382.838
26	5.2	-468.219	340.161	-128.058	-128.058
27	5.4	-516.453	281.459	-234.994	-234.994
28	5.6	-515.17	361.52	-153.65	-153.65
29	5.8	-541.984	119.343	-422.642	-422.642
30	6	-483.515	-16.8511	-500.366	-500.366
31	6.2	-474.596	290.973	-183.623	-183.623
32	6.4	-349.825	396.927	47.1017	47.1017
33	6.6	-519.519	242.184	-277.335	-277.335
34	6.8	-434.109	298.51	-135.599	-135.599
35	7	-460.024	73.4784	-386.546	-386.546
36	7.2	-521.378	216.085	-305.293	-305.293
37	7.4	-488.291	282.545	-205.747	-205.747
38	7.6	-524.613	275.116	-249.496	-249.496
39	7.8	-466.607	389.055	-77.5518	-77.5518
40	8	-503.206	363.109	-140.097	-140.097
41	8.2	-425.807	80.3105	-345.497	-345.497
42	8.4	-379.218	71.3355	-307.882	-307.882
43	8.6	-534.963	375.617	-159.346	-159.346
44	8.8	-465.565	276.06	-189.505	-189.505
45	9	-482.429	-6.2337	-488.662	-488.662
46	9.2	-488.794	133.133	-355.661	-355.661
47	9.4	-372.792	-61.557	-434.349	-434.349
48	9.6	-511.966	201.205	-310.76	-310.76
49	9.8	-400.145	399.62	-0.5256	-0.5256
50	10	-432.317	76.6806	-355.637	-355.637
51	10.2	-517.651	159.775	-357.876	-357.876
52	10.4	-450.516	32.1909	-418.325	-418.325
53	10.6	-541.802	78.144	-463.658	-463.658
54	10.8	-485.099	339.375	-145.724	-145.724
55	11	-583.169	195.315	-387.855	-387.855
56	11.2	-529.102	242.232	-286.87	-286.87
57	11.4	-550.814	159.081	-391.733	-391.733
58	11.6	-580.89	630.673	49.7825	49.7825
59	11.8	-646.349	209.657	-436.692	-436.692
60	12	-576.646	372.553	-204.093	-204.093
61	12.2	-583.592	372.574	-211.018	-211.018
62	12.4	-517.424	52.2155	-465.208	-465.208
63	12.6	-631.211	226.569	-404.642	-404.642
64	12.8	-592.577	229.936	-362.641	-362.641
65	13	-553.124	139.99	-413.134	-413.134
66	13.2	-615.625	481.842	-133.783	-133.783
67	13.4	-650.059	139.988	-510.071	-510.071
68	13.6	-665.723	207.65	-458.073	-458.073
69	13.8	-625.561	195.89	-429.671	-429.671
70	14	-513.065	120.685	-392.38	-392.38
71	14.2	-376.467	181.183	-195.284	-195.284
72	14.4	-590.746	259.373	-331.374	-331.374
73	14.6	-554.699	155.908	-398.791	-398.791
74	14.8	-561.058	236.483	-324.576	-324.576
75	15	-516.135	260.655	-255.481	-255.481
76	15.2	-563.369	47.7208	-515.648	-515.648
77	15.4	-650.354	615.119	-35.2353	-35.2353
78	15.6	-553.029	214.895	-338.134	-338.134
79	15.8	-512.837	285.827	-227.01	-227.01
80	16	-570.067	548.441	-21.6261	-21.6261
81	16.2	-509.811	350.845	-158.966	-158.966
82	16.4	-522.482	573.586	51.1038	51.1038
83	16.6	-517.9	198.058	-319.842	-319.842
84	16.8	-535.754	449.993	-85.7603	-85.7603
85	17	-529.598	328.261	-201.337	-201.337
86	17.2	-528.418	10.5762	-517.842	-517.842
