Frame         Time          Elec          VdW           Nonbond       Total         
0             0             -442.528      -262          -704.528      -704.528      
1             1             -466.921      -271.695      -738.616      -738.616      
2             2             -496.887      -245.506      -742.393      -742.393      
3             3             -497.857      -264.542      -762.399      -762.399      
4             4             -550.511      -278.104      -828.615      -828.615      
5             5             -576.116      -281.387      -857.504      -857.504      
6             6             -572.125      -258.675      -830.801      -830.801      
7             7             -498.075      -288.058      -786.133      -786.133      
8             8             -513.448      -265.8        -779.247      -779.247      
9             9             -580.745      -291.725      -872.47       -872.47       
10            10            -536.136      -278.269      -814.405      -814.405      
11            11            -486.681      -298.708      -785.389      -785.389      
12            12            -488.485      -291.114      -779.6        -779.6        
13            13            -565.885      -273.868      -839.753      -839.753      
14            14            -567.99       -280.238      -848.228      -848.228      
15            15            -543.911      -285.447      -829.358      -829.358      
16            16            -475.521      -280.474      -755.995      -755.995      
17            17            -451.923      -251.797      -703.72       -703.72       
18            18            -573.511      -279.91       -853.421      -853.421      
19            19            -548.201      -272.235      -820.436      -820.436      
20            20            -517.519      -270.695      -788.215      -788.215      
21            21            -577.412      -271.44       -848.851      -848.851      
22            22            -659.714      -289.977      -949.691      -949.691      
23            23            -598.567      -281.915      -880.481      -880.481      
24            24            -617.087      -276.343      -893.431      -893.431      
25            25            -606.533      -280.379      -886.912      -886.912      
26            26            -546.076      -282.548      -828.624      -828.624      
27            27            -441.461      -294.061      -735.522      -735.522      
28            28            -478.841      -265.69       -744.531      -744.531      
29            29            -466.114      -290.261      -756.374      -756.374      
30            30            -472.086      -260.774      -732.859      -732.859      
31            31            -519.951      -274.085      -794.036      -794.036      
32            32            -584.169      -281.542      -865.711      -865.711      
33            33            -608.535      -276.422      -884.957      -884.957      
34            34            -624.628      -264.387      -889.015      -889.015      
35            35            -611.931      -270.346      -882.277      -882.277      
36            36            -589.067      -265.721      -854.788      -854.788      
37            37            -556.568      -265.633      -822.201      -822.201      
38            38            -495.035      -255.416      -750.452      -750.452      
39            39            -527.105      -254.998      -782.103      -782.103      
40            40            -495.306      -251.798      -747.103      -747.103      
41            41            -446.974      -280.521      -727.494      -727.494      
42            42            -447.534      -268.729      -716.263      -716.263      
43            43            -502.505      -248.541      -751.047      -751.047      
44            44            -468.822      -277.324      -746.146      -746.146      
45            45            -486.949      -269.093      -756.042      -756.042      
46            46            -505.916      -278.005      -783.922      -783.922      
47            47            -453.888      -289.991      -743.878      -743.878      
48            48            -405.273      -273.354      -678.627      -678.627      
49            49            -590.166      -282.784      -872.951      -872.951      
50            50            -553.179      -307.608      -860.788      -860.788      
51            51            -487.914      -283.747      -771.661      -771.661      
52            52            -503.459      -274.074      -777.533      -777.533      
53            53            -514.688      -295.08       -809.768      -809.768      
54            54            -613.986      -279.732      -893.718      -893.718      
55            55            -532.65       -283.93       -816.58       -816.58       
56            56            -491.689      -286.614      -778.303      -778.303      
57            57            -546.735      -303.232      -849.967      -849.967      
58            58            -530.253      -296.014      -826.267      -826.267      
59            59            -614.89       -299.626      -914.516      -914.516      
60            60            -576.681      -318.768      -895.448      -895.448      
61            61            -595.767      -325.596      -921.363      -921.363      
62            62            -597.59       -312.004      -909.593      -909.593      
63            63            -505.71       -302.276      -807.986      -807.986      
64            64            -499.045      -296.77       -795.816      -795.816      
65            65            -561.972      -290.499      -852.471      -852.471      
66            66            -541.905      -292.657      -834.562      -834.562      
67            67            -585.329      -280.611      -865.94       -865.94       
68            68            -603.872      -298.686      -902.558      -902.558      
69            69            -580.306      -300.215      -880.52       -880.52       
70            70            -558.076      -283.792      -841.868      -841.868      
71            71            -573.618      -309.355      -882.973      -882.973      
72            72            -507.719      -280.451      -788.17       -788.17       
73            73            -468.103      -290.162      -758.265      -758.265      
