Frame	Time	Elec	VdW	Nonbond	Total
0	0	-746.952	-232.205	-979.157	-979.157
1	0.2	-829.278	-228.244	-1057.52	-1057.52
2	0.4	-658.499	-203.635	-862.134	-862.134
3	0.6	-636.65	-231.391	-868.041	-868.041
4	0.8	-680.028	-207.94	-887.967	-887.967
5	1	-599.263	-219.179	-818.442	-818.442
6	1.2	-627.202	-211.262	-838.465	-838.465
7	1.4	-537.846	-201.714	-739.561	-739.561
8	1.6	-592.692	-219.198	-811.89	-811.89
9	1.8	-544.678	-214.795	-759.473	-759.473
10	2	-578.206	-208.423	-786.63	-786.63
11	2.2	-440.428	-188.423	-628.851	-628.851
12	2.4	-361.637	-194.439	-556.076	-556.076
13	2.6	-400.83	-195.321	-596.152	-596.152
14	2.8	-475.225	-206.037	-681.263	-681.263
15	3	-481.161	-194.391	-675.552	-675.552
16	3.2	-527.52	-203.766	-731.286	-731.286
17	3.4	-399.652	-196.5	-596.152	-596.152
18	3.6	-533.457	-205.221	-738.678	-738.678
19	3.8	-466.738	-202.013	-668.75	-668.75
20	4	-512.818	-218.097	-730.915	-730.915
21	4.2	-562.731	-216.753	-779.484	-779.484
22	4.4	-595.321	-211.53	-806.852	-806.852
23	4.6	-556.719	-189.298	-746.017	-746.017
24	4.8	-521.565	-210.532	-732.097	-732.097
25	5	-563.582	-207.081	-770.663	-770.663
26	5.2	-564.582	-195.901	-760.483	-760.483
27	5.4	-514.792	-197.56	-712.351	-712.351
28	5.6	-529.925	-213.628	-743.553	-743.553
29	5.8	-596.976	-226.927	-823.903	-823.903
30	6	-712.689	-211.669	-924.358	-924.358
31	6.2	-574.516	-203.877	-778.394	-778.394
32	6.4	-507.081	-214.942	-722.024	-722.024
33	6.6	-549.758	-209.487	-759.245	-759.245
34	6.8	-550.676	-193.096	-743.771	-743.771
35	7	-625.891	-205.612	-831.503	-831.503
36	7.2	-535.197	-229.554	-764.751	-764.751
37	7.4	-638.567	-206.478	-845.044	-845.044
38	7.6	-604.492	-223.804	-828.296	-828.296
39	7.8	-586.87	-191.993	-778.863	-778.863
40	8	-609.355	-203.884	-813.239	-813.239
41	8.2	-634.521	-203.364	-837.885	-837.885
42	8.4	-622.16	-189.468	-811.628	-811.628
43	8.6	-678.039	-196.836	-874.875	-874.875
44	8.8	-543.506	-199.039	-742.545	-742.545
45	9	-583.909	-194.364	-778.273	-778.273
46	9.2	-611.766	-190.955	-802.721	-802.721
47	9.4	-538.591	-187.973	-726.564	-726.564
48	9.6	-518.075	-191.004	-709.079	-709.079
49	9.8	-509.737	-213.781	-723.518	-723.518
50	10	-540.291	-214.79	-755.081	-755.081
51	10.2	-633.426	-199.664	-833.09	-833.09
52	10.4	-600.629	-203.377	-804.007	-804.007
53	10.6	-515.466	-210.433	-725.899	-725.899
54	10.8	-533.113	-209.641	-742.754	-742.754
55	11	-576.263	-199.604	-775.866	-775.866
56	11.2	-547.398	-195.804	-743.202	-743.202
57	11.4	-529.36	-209.064	-738.424	-738.424
58	11.6	-485.663	-227.499	-713.162	-713.162
59	11.8	-490.127	-200.297	-690.424	-690.424
60	12	-450.808	-228.765	-679.573	-679.573
61	12.2	-525.378	-210.318	-735.696	-735.696
62	12.4	-599.286	-213.076	-812.362	-812.362
63	12.6	-425.101	-224.824	-649.925	-649.925
64	12.8	-455.317	-230.884	-686.201	-686.201
65	13	-521.404	-235.344	-756.748	-756.748
66	13.2	-573.195	-218.23	-791.425	-791.425
67	13.4	-598.675	-213.498	-812.173	-812.173
68	13.6	-570.425	-226.144	-796.569	-796.569
69	13.8	-609.223	-238.147	-847.37	-847.37
70	14	-662.443	-232.305	-894.747	-894.747
71	14.2	-559.208	-223.272	-782.48	-782.48
72	14.4	-668.413	-231.861	-900.275	-900.275
73	14.6	-582.133	-228.437	-810.57	-810.57
74	14.8	-525.103	-217.868	-742.972	-742.972
75	15	-493.953	-221.853	-715.805	-715.805
76	15.2	-653.466	-233.434	-886.9	-886.9
77	15.4	-655.571	-231.822	-887.392	-887.392
78	15.6	-598.908	-223.302	-822.21	-822.21
79	15.8	-595.641	-220.392	-816.032	-816.032
80	16	-546.996	-229.6	-776.596	-776.596
81	16.2	-606.057	-226.974	-833.031	-833.031
82	16.4	-561.937	-219.184	-781.121	-781.121
83	16.6	-469.165	-237.813	-706.978	-706.978
84	16.8	-509.073	-233.249	-742.321	-742.321
85	17	-470.637	-231.698	-702.335	-702.335
86	17.2	-625.957	-221.965	-847.922	-847.922
87	17.4	-621.602	-214.976	-836.577	-836.577
88	17.6	-669.475	-240.647	-910.122	-910.122
89	17.8	-616.55	-231.446	-847.996	-847.996
90	18	-684.67	-203.086	-887.756	-887.756
91	18.2	-636.719	-216.576	-853.295	-853.295
92	18.4	-626.307	-215.768	-842.075	-842.075
93	18.6	-752.662	-212.94	-965.602	-965.602
94	18.8	-609.322	-220.437	-829.758	-829.758
95	19	-675.86	-222.946	-898.807	-898.807
96	19.2	-714.093	-230.222	-944.315	-944.315
97	19.4	-732.532	-242.899	-975.431	-975.431
98	19.6	-813.323	-221.323	-1034.65	-1034.65
99	19.8	-723.905	-222.902	-946.807	-946.807
100	20	-787.589	-240.382	-1027.97	-1027.97
101	20.2	-755.036	-207.744	-962.78	-962.78
102	20.4	-718.492	-229.422	-947.914	-947.914
103	20.6	-682.764	-229.826	-912.591	-912.591
104	20.8	-655.177	-224.959	-880.136	-880.136
105	21	-697.768	-219.815	-917.584	-917.584
106	21.2	-810.247	-236.671	-1046.92	-1046.92
107	21.4	-678.65	-225.106	-903.756	-903.756
108	21.6	-636.657	-206.25	-842.907	-842.907
109	21.8	-667.761	-205.893	-873.654	-873.654
110	22	-618.969	-212.68	-831.649	-831.649
111	22.2	-608.176	-213.917	-822.093	-822.093
112	22.4	-555.902	-215.661	-771.563	-771.563
