Frame	Time	Elec	VdW	Nonbond
0	60	-140.099	-84.9093	-225.008
1	60.2	-179.101	-85.0123	-264.113
2	60.4	-177.513	-81.4266	-258.94
3	60.6	-192.049	-90.6606	-282.709
4	60.8	-211.588	-95.5178	-307.106
5	61	-208.369	-94.9972	-303.366
6	61.2	-185.581	-94.083	-279.664
7	61.4	-164.532	-97.5728	-262.105
8	61.6	-211.11	-88.7095	-299.819
9	61.8	-223.964	-102.258	-326.222
10	62	-231.026	-100.117	-331.143
11	62.2	-141.368	-110.988	-252.356
12	62.4	-183.468	-109.283	-292.751
13	62.6	-205.453	-99.525	-304.978
14	62.8	-218.457	-101.078	-319.535
15	63	-203.343	-94.6847	-298.028
16	63.2	-154.16	-88.0979	-242.257
17	63.4	-134.159	-89.7403	-223.899
18	63.6	-222.834	-98.3951	-321.229
19	63.8	-203.695	-84.0175	-287.712
20	64	-150.977	-96.8192	-247.796
21	64.2	-246.471	-92.0029	-338.474
22	64.4	-285.463	-97.2247	-382.688
23	64.6	-257.63	-92.6386	-350.269
24	64.8	-260.406	-90.7665	-351.173
25	65	-274.8	-95.4451	-370.245
26	65.2	-212.831	-101.384	-314.215
27	65.4	-154.034	-95.0805	-249.114
28	65.6	-162.666	-94.9316	-257.597
29	65.8	-172.227	-99.5718	-271.798
30	66	-160.801	-85.337	-246.138
31	66.2	-200.291	-102.204	-302.496
32	66.4	-317.399	-90.1724	-407.571
33	66.6	-348.533	-97.6531	-446.186
34	66.8	-334.506	-85.1159	-419.622
35	67	-307.921	-94.1279	-402.049
36	67.2	-305.519	-89.2328	-394.752
37	67.4	-278.325	-84.9199	-363.244
38	67.6	-190.142	-74.433	-264.575
39	67.8	-222.275	-79.7114	-301.987
40	68	-215.304	-82.085	-297.389
41	68.2	-176.465	-87.8762	-264.341
42	68.4	-162.159	-95.0639	-257.223
43	68.6	-203.332	-79.7341	-283.066
44	68.8	-169.208	-97.5434	-266.752
45	69	-188.686	-101.497	-290.183
46	69.2	-218.619	-95.4261	-314.045
47	69.4	-202.734	-100.028	-302.761
48	69.6	-168.117	-102.188	-270.304
49	69.8	-298.212	-104.071	-402.283
50	70	-278.672	-114.873	-393.546
51	70.2	-242.091	-105.451	-347.542
