Frame         Time          Elec          VdW           Nonbond       Total         
0             0             -35.8025      -35.6108      -71.4133      -71.4133      
1             1             -48.1568      -36.7378      -84.8946      -84.8946      
2             2             -25.796       -43.9479      -69.7439      -69.7439      
3             3             -26.9909      -42.9296      -69.9205      -69.9205      
4             4             -37.2587      -45.5539      -82.8126      -82.8126      
5             5             -46.4857      -44.642       -91.1277      -91.1277      
6             6             -27.3995      -41.0586      -68.4581      -68.4581      
7             7             -34.4539      -44.234       -78.6879      -78.6879      
8             8             -50.1481      -43.0737      -93.2218      -93.2218      
9             9             -61.5544      -43.5166      -105.071      -105.071      
10            10            -42.2386      -42.548       -84.7866      -84.7866      
11            11            -45.2366      -43.5848      -88.8214      -88.8214      
12            12            -45.3861      -48.1454      -93.5315      -93.5315      
13            13            -11.4893      -37.9476      -49.4369      -49.4369      
14            14            -31.3644      -44.4824      -75.8468      -75.8468      
15            15            -20.7567      -34.3433      -55.1         -55.1         
16            16            -14.9099      -32.2725      -47.1824      -47.1824      
17            17            -23.2615      -37.083       -60.3445      -60.3445      
18            18            -34.4064      -39.9709      -74.3773      -74.3773      
19            19            -48.4352      -37.9101      -86.3453      -86.3453      
20            20            -35.8464      -39.1319      -74.9783      -74.9783      
21            21            -33.0253      -39.2206      -72.2459      -72.2459      
22            22            -23.5338      -35.3188      -58.8526      -58.8526      
23            23            -29.2541      -32.9636      -62.2177      -62.2177      
24            24            -21.623       -26.3762      -47.9992      -47.9992      
25            25            -39.1189      -37.7582      -76.8771      -76.8771      
26            26            -30.278       -37.7394      -68.0174      -68.0174      
27            27            -44.5311      -38.2322      -82.7633      -82.7633      
28            28            -39.2788      -43.709       -82.9878      -82.9878      
29            29            -15.3316      -41.0881      -56.4197      -56.4197      
30            30            -24.354       -38.7966      -63.1506      -63.1506      
31            31            -5.4088       -31.573       -36.9818      -36.9818      
32            32            -16.906       -42.3149      -59.2209      -59.2209      
33            33            -16.2964      -44.3919      -60.6883      -60.6883      
34            34            -2.136        -33.2389      -35.3749      -35.3749      
35            35            -3.7114       -35.454       -39.1654      -39.1654      
36            36            -34.6653      -42.6065      -77.2718      -77.2718      
37            37            -24.5645      -46.379       -70.9435      -70.9435      
38            38            -35.9248      -50.7031      -86.6279      -86.6279      
39            39            -30.8755      -39.7797      -70.6552      -70.6552      
40            40            -21.1974      -40.5638      -61.7612      -61.7612      
41            41            -18.8347      -40.1559      -58.9906      -58.9906      
42            42            +1.9394       -39.6059      -37.6665      -37.6665      
43            43            -16.1971      -42.2473      -58.4444      -58.4444      
44            44            -14.0866      -43.6841      -57.7707      -57.7707      
45            45            -30.2371      -50.5663      -80.8034      -80.8034      
