Frame         Time          Elec          VdW           Nonbond       Total         
0             0             -0.9075       -0.1784       -1.0859       -1.0859       
1             1             +2.1295       -0.1427       +1.9868       +1.9868       
2             2             +0.1112       -0.0523       +0.0589       +0.0589       
3             3             +0.0826       -0.1189       -0.0363       -0.0363       
4             4             +0.2663       -0.0772       +0.1891       +0.1891       
5             5             +2.4179       -0.0696       +2.3483       +2.3483       
6             6             +0.0422       -0.0682       -0.026        -0.026        
7             7             -1.1017       -0.0604       -1.1621       -1.1621       
8             8             +1.2872       -0.565        +0.7222       +0.7222       
9             9             +4.1118       -0.2139       +3.8979       +3.8979       
10            10            +0.8561       -0.1908       +0.6653       +0.6653       
11            11            -0.2617       -0.237        -0.4987       -0.4987       
12            12            +3.3694       -0.1475       +3.2219       +3.2219       
13            13            -0.1053       -0.0045       -0.1098       -0.1098       
14            14            +0            +0            +0            +0            
15            15            -0.0069       -0            -0.0069       -0.0069       
16            16            -0.0315       -0.0001       -0.0316       -0.0316       
17            17            +0            +0            +0            +0            
18            18            +0            +0            +0            +0            
19            19            +0            +0            +0            +0            
20            20            +0.0354       -0.0003       +0.0351       +0.0351       
21            21            +0            +0            +0            +0            
22            22            -0.0629       -0            -0.0629       -0.0629       
23            23            -1.2501       -0.0039       -1.254        -1.254        
24            24            +0.4023       -0.0165       +0.3858       +0.3858       
25            25            -0.368        -0.0353       -0.4033       -0.4033       
26            26            -2.1137       -0.1706       -2.2843       -2.2843       
27            27            -3.0912       -0.0684       -3.1596       -3.1596       
28            28            +1.3431       -0.0498       +1.2933       +1.2933       
29            29            -0.0541       -0.008        -0.0621       -0.0621       
30            30            -1.1763       -0.0948       -1.2711       -1.2711       
31            31            -1.1594       -0.0021       -1.1615       -1.1615       
32            32            +0.7821       -0.0065       +0.7756       +0.7756       
33            33            -0.0124       -0            -0.0124       -0.0124       
34            34            +0.1422       -0.0001       +0.1421       +0.1421       
35            35            -0.2145       -0.0002       -0.2147       -0.2147       
36            36            -0.0366       -0.0015       -0.0381       -0.0381       
37            37            +0            +0            +0            +0            
38            38            +0            +0            +0            +0            
39            39            +0            +0            +0            +0            
40            40            +0.0749       -0            +0.0749       +0.0749       
41            41            -0.7233       -0.003        -0.7263       -0.7263       
42            42            +0            +0            +0            +0            
43            43            +0            +0            +0            +0            
44            44            +0            +0            +0            +0            
45            45            -0.0046       -0            -0.0046       -0.0046       
46            46            +0            +0            +0            +0            
47            47            +0            +0            +0            +0            
48            48            +0.0051       -0            +0.0051       +0.0051       
49            49            +0.0167       -0            +0.0167       +0.0167       
50            50            -0.1133       -0.0049       -0.1182       -0.1182       
51            51            +0.1262       -0.0615       +0.0647       +0.0647       
52            52            +0.9107       -0.001        +0.9097       +0.9097       
53            53            +2.3404       -0.013        +2.3274       +2.3274       
54            54            +0.7384       -0.0371       +0.7013       +0.7013       
55            55            +1.5343       -0.4014       +1.1329       +1.1329       
56            56            -1.4575       -1.1793       -2.6368       -2.6368       
57            57            +8.1556       -2.4849       +5.6707       +5.6707       
58            58            -0.9308       -1.2955       -2.2263       -2.2263       
59            59            -3.8739       -0.4176       -4.2915       -4.2915       
60            60            -3.7727       +0.0889       -3.6838       -3.6838       
61            61            -2.8846       -0.2978       -3.1824       -3.1824       
62            62            -0.3917       -0.1311       -0.5228       -0.5228       
63            63            +4.2428       -0.4005       +3.8423       +3.8423       
64            64            +3.0163       -0.2589       +2.7574       +2.7574       
65            65            +5.1705       -0.3395       +4.831        +4.831        
66            66            +1.1821       -1.0607       +0.1214       +0.1214       
67            67            +4.392        -0.3536       +4.0384       +4.0384       
68            68            +3.7268       -0.9599       +2.7669       +2.7669       
69            69            +0.1711       -2.7416       -2.5705       -2.5705       
70            70            -19.8785      -0.4291       -20.3076      -20.3076      
71            71            -6.5675       -1.4098       -7.9773       -7.9773       
72            72            -7.4664       -2.6602       -10.1266      -10.1266      
73            73            +1.4218       -2.9794       -1.5576       -1.5576       
74            74            -25.3465      -1.4132       -26.7597      -26.7597      
75            75            -10.1034      -2.9579       -13.0613      -13.0613      
76            76            -7.7108       -4.637        -12.3478      -12.3478      
77            77            -18.7496      -1.7777       -20.5273      -20.5273      
78            78            +5.156        -3.5175       +1.6385       +1.6385       
79            79            +0.4282       -3.0562       -2.628        -2.628        
80            80            -4.1014       -2.1533       -6.2547       -6.2547       
81            81            -3.5326       -1.4385       -4.9711       -4.9711       
82            82            -1.7457       -2.4787       -4.2244       -4.2244       
83            83            -21.9765      -2.8647       -24.8412      -24.8412      
84            84            -11.1238      -6.1154       -17.2392      -17.2392      
85            85            -20.513       -3.7293       -24.2423      -24.2423      
86            86            -29.1982      -1.4746       -30.6728      -30.6728      
87            87            -24.3055      -5.5014       -29.8069      -29.8069      
88            88            -29.4847      -1.4848       -30.9695      -30.9695      
89            89            -22.4952      -3.0547       -25.5499      -25.5499      
90            90            -25.2388      -2.2992       -27.538       -27.538       
91            91            -25.5425      +0.2852       -25.2573      -25.2573      
92            92            -25.5025      -1.4949       -26.9974      -26.9974      
93            93            -30.8831      -1.094        -31.9771      -31.9771      
94            94            -20.6002      -4.1752       -24.7754      -24.7754      
95            95            -26.6772      -1.2933       -27.9705      -27.9705      
96            96            -22.7079      -1.2959       -24.0038      -24.0038      
97            97            -21.8412      -3.3132       -25.1544      -25.1544      
98            98            -19.1187      -2.0063       -21.125       -21.125       
99            99            -19.315       -3.2468       -22.5618      -22.5618      
100           100           -15.0627      -1.4934       -16.5561      -16.5561      
101           101           +1.2432       -1.4112       -0.168        -0.168        
102           102           -0.3816       -1.3123       -1.6939       -1.6939       
103           103           +1.815        -1.3294       +0.4856       +0.4856       
104           104           -3.1803       -1.0196       -4.1999       -4.1999       
105           105           -0.4043       -1.401        -1.8053       -1.8053       
106           106           +1.8732       -2.1456       -0.2724       -0.2724       
107           107           -3.92         -1.6948       -5.6148       -5.6148       
108           108           -1.4824       -1.141        -2.6234       -2.6234       
109           109           -5.579        -2.4153       -7.9943       -7.9943       
