Frame	Time	Elec	VdW	Nonbond
0	0	-194.748	-190.803	-385.552
1	0.2	-208.167	-192.252	-400.419
2	0.4	-350.457	-179.664	-530.121
3	0.6	-294.83	-183.669	-478.498
4	0.8	-241.501	-190.093	-431.594
5	1	-279.286	-166.336	-445.622
6	1.2	-376.026	-172.926	-548.952
7	1.4	-518.064	-188.544	-706.608
8	1.6	-472.818	-210.448	-683.266
9	1.8	-414.105	-192.164	-606.269
10	2	-501.617	-185.695	-687.312
11	2.2	-489.565	-192.228	-681.794
12	2.4	-465.408	-190.435	-655.842
13	2.6	-515.98	-180.486	-696.465
14	2.8	-499.37	-204.574	-703.945
15	3	-443.021	-180.046	-623.067
16	3.2	-468.298	-202.594	-670.892
17	3.4	-517.447	-186.351	-703.798
18	3.6	-492.84	-200.137	-692.977
19	3.8	-556.685	-196.293	-752.978
20	4	-510.487	-201.587	-712.074
21	4.2	-524.885	-196.955	-721.84
22	4.4	-564.642	-180.31	-744.951
23	4.6	-635.951	-189.145	-825.096
24	4.8	-561.418	-192.228	-753.646
25	5	-562.833	-211.115	-773.949
26	5.2	-559.873	-195.59	-755.463
27	5.4	-529.774	-204.145	-733.919
28	5.6	-453.641	-189.535	-643.177
29	5.8	-578.038	-184.218	-762.256
30	6	-593.467	-200.268	-793.735
31	6.2	-648.308	-191.941	-840.25
32	6.4	-587.664	-182.473	-770.137
33	6.6	-515.148	-171.258	-686.407
34	6.8	-554.967	-189.141	-744.108
35	7	-597.347	-185.749	-783.096
36	7.2	-553.785	-202.294	-756.079
37	7.4	-516.412	-199.732	-716.145
38	7.6	-567.271	-180.943	-748.214
39	7.8	-533.669	-187.271	-720.94
40	8	-475.839	-184.605	-660.443
41	8.2	-534.699	-193.4	-728.099
42	8.4	-596.952	-198.199	-795.151
43	8.6	-551.705	-181.691	-733.396
44	8.8	-501.81	-200.038	-701.848
45	9	-549.394	-207.444	-756.837
46	9.2	-597.832	-196.077	-793.909
47	9.4	-544.839	-174.436	-719.275
48	9.6	-588.951	-171.24	-760.191
49	9.8	-497.712	-200.322	-698.034
50	10	-530.053	-172.916	-702.969
51	10.2	-510.86	-184.133	-694.993
52	10.4	-556.504	-185.712	-742.216
53	10.6	-522.708	-196.012	-718.72
54	10.8	-545.919	-179.444	-725.363
55	11	-537.216	-181.145	-718.36
56	11.2	-531.426	-193.047	-724.473
57	11.4	-560.957	-173.493	-734.449
58	11.6	-528.034	-166.978	-695.012
59	11.8	-482.642	-194.195	-676.836
60	12	-433.013	-196.54	-629.553
61	12.2	-447.031	-191.479	-638.51
62	12.4	-442	-195.406	-637.405
63	12.6	-470.106	-203.923	-674.029
64	12.8	-474.205	-195.211	-669.416
65	13	-488.007	-188.069	-676.075
66	13.2	-559.167	-203.991	-763.158
67	13.4	-576.275	-204.029	-780.304
68	13.6	-533.807	-197.105	-730.912
69	13.8	-521.801	-199.093	-720.894
70	14	-522.054	-204.212	-726.266
71	14.2	-497.674	-204.763	-702.437
72	14.4	-529.493	-213.491	-742.984
73	14.6	-512.087	-203.797	-715.884
74	14.8	-549.294	-198.371	-747.665
75	15	-560.276	-201.767	-762.042
76	15.2	-513.405	-209.051	-722.456
77	15.4	-432.859	-198.221	-631.08
78	15.6	-485.463	-180.431	-665.894
79	15.8	-435.256	-205.736	-640.992
80	16	-407.71	-207.035	-614.745
81	16.2	-422.649	-202.758	-625.406
82	16.4	-571.331	-210.761	-782.092
83	16.6	-494.388	-209.22	-703.607
84	16.8	-546.862	-218.532	-765.394
85	17	-576.307	-193.718	-770.025
86	17.2	-611.129	-202.177	-813.305
87	17.4	-570.707	-211.971	-782.678
