Frame	Time	Elec	VdW	Nonbond	Total
0	0	-427.997	-178.303	-606.3	-606.3
1	0.2	-505.381	-173.624	-679.005	-679.005
2	0.4	-483.198	-178.536	-661.735	-661.735
3	0.6	-487.748	-155.981	-643.729	-643.729
4	0.8	-369.405	-170.435	-539.84	-539.84
5	1	-392.011	-166.463	-558.474	-558.474
6	1.2	-468.167	-187.303	-655.47	-655.47
7	1.4	-423.818	-186.249	-610.066	-610.066
8	1.6	-480.345	-205.434	-685.78	-685.78
9	1.8	-493.692	-208.954	-702.646	-702.646
10	2	-477.852	-214.6	-692.452	-692.452
11	2.2	-403.322	-193.593	-596.915	-596.915
12	2.4	-479.751	-206.6	-686.352	-686.352
13	2.6	-535.062	-212.531	-747.593	-747.593
14	2.8	-589.475	-195.353	-784.827	-784.827
15	3	-513.288	-189.818	-703.106	-703.106
16	3.2	-607.432	-194.62	-802.053	-802.053
17	3.4	-541.532	-215.516	-757.048	-757.048
18	3.6	-502.336	-207.712	-710.048	-710.048
19	3.8	-529.625	-206.572	-736.197	-736.197
20	4	-537.433	-190.487	-727.92	-727.92
21	4.2	-490.455	-201.418	-691.873	-691.873
22	4.4	-344.167	-224.605	-568.772	-568.772
23	4.6	-479.988	-224.628	-704.616	-704.616
24	4.8	-417.058	-212.457	-629.515	-629.515
25	5	-535.26	-212.451	-747.711	-747.711
26	5.2	-468.219	-200.23	-668.449	-668.449
27	5.4	-516.453	-196.691	-713.144	-713.144
28	5.6	-515.17	-182.976	-698.146	-698.146
29	5.8	-541.984	-197.218	-739.202	-739.202
30	6	-483.515	-199.21	-682.725	-682.725
31	6.2	-474.596	-180.078	-654.674	-654.674
32	6.4	-349.825	-197.967	-547.792	-547.792
33	6.6	-519.519	-183.779	-703.298	-703.298
34	6.8	-434.109	-168.085	-602.194	-602.194
35	7	-460.024	-175.415	-635.439	-635.439
36	7.2	-521.378	-192.738	-714.116	-714.116
37	7.4	-488.291	-183.794	-672.085	-672.085
38	7.6	-524.613	-189.084	-713.697	-713.697
39	7.8	-466.607	-182.986	-649.593	-649.593
40	8	-503.206	-192.494	-695.7	-695.7
41	8.2	-425.807	-199.159	-624.966	-624.966
42	8.4	-379.218	-185.95	-565.167	-565.167
43	8.6	-534.963	-170.346	-705.308	-705.308
44	8.8	-465.565	-176.93	-642.495	-642.495
45	9	-482.429	-194.167	-676.596	-676.596
46	9.2	-488.794	-194.856	-683.649	-683.649
47	9.4	-372.792	-186.081	-558.873	-558.873
48	9.6	-511.966	-187.417	-699.383	-699.383
49	9.8	-400.145	-183.806	-583.951	-583.951
50	10	-432.317	-191.322	-623.64	-623.64
