Frame         Time          Elec          VdW           Nonbond       Total         
0             0             -522.599      -205.604      -728.203      -728.203      
1             1             -568.735      -242.142      -810.877      -810.877      
2             2             -547.375      -226.453      -773.829      -773.829      
3             3             -524.439      -235.629      -760.069      -760.069      
4             4             -485.255      -240.115      -725.37       -725.37       
5             5             -529.502      -236.747      -766.249      -766.249      
6             6             -451.012      -245.406      -696.418      -696.418      
7             7             -553.505      -207.845      -761.35       -761.35       
8             8             -438.087      -216.926      -655.014      -655.014      
9             9             -412.345      -234.802      -647.147      -647.147      
10            10            -423.079      -215.59       -638.669      -638.669      
11            11            -448.945      -224.004      -672.949      -672.949      
12            12            -436.636      -220.024      -656.661      -656.661      
13            13            -469.685      -217.549      -687.234      -687.234      
14            14            -509.3        -230.267      -739.567      -739.567      
15            15            -462.198      -232.259      -694.457      -694.457      
16            16            -433.535      -243.295      -676.83       -676.83       
17            17            -536.652      -230.447      -767.1        -767.1        
18            18            -517.91       -237.398      -755.308      -755.308      
19            19            -457.99       -229.813      -687.803      -687.803      
20            20            -555.182      -229.358      -784.539      -784.539      
21            21            -601.811      -240.671      -842.482      -842.482      
22            22            -546.949      -239.712      -786.661      -786.661      
23            23            -493.634      -222.487      -716.121      -716.121      
24            24            -468.334      -202.306      -670.64       -670.64       
25            25            -417.112      -210.22       -627.332      -627.332      
26            26            -468.966      -224.273      -693.239      -693.239      
27            27            -428.788      -216.873      -645.662      -645.662      
28            28            -421.398      -204.985      -626.383      -626.383      
29            29            -446.943      -229.841      -676.784      -676.784      
30            30            -326.745      -229.555      -556.3        -556.3        
31            31            -461.303      -212.18       -673.484      -673.484      
32            32            -501.387      -212.677      -714.063      -714.063      
33            33            -487.748      -220.185      -707.932      -707.932      
34            34            -409.519      -249.963      -659.482      -659.482      
35            35            -401.495      -234.964      -636.458      -636.458      
36            36            -390.624      -213.236      -603.86       -603.86       
37            37            -380.286      -216.803      -597.09       -597.09       
38            38            -317.735      -211.258      -528.993      -528.993      
39            39            -303.526      -213.51       -517.036      -517.036      
40            40            -347.732      -219.378      -567.11       -567.11       
41            41            -340.536      -227.983      -568.52       -568.52       
42            42            -333.364      -220.756      -554.12       -554.12       
43            43            -392.872      -220.277      -613.148      -613.148      
44            44            -425.986      -219.268      -645.254      -645.254      
45            45            -439.287      -239.921      -679.208      -679.208      
46            46            -488.355      -235.616      -723.971      -723.971      
47            47            -412.187      -219.498      -631.685      -631.685      
48            48            -309.89       -233.812      -543.701      -543.701      
49            49            -295.152      -240.559      -535.711      -535.711      
50            50            -310.043      -231.32       -541.362      -541.362      
51            51            -250.857      -212.062      -462.918      -462.918      
52            52            -285.104      -220.487      -505.591      -505.591      
53            53            -273.044      -212.522      -485.565      -485.565      
54            54            -284.718      -227.543      -512.262      -512.262      
55            55            -397.987      -227.791      -625.778      -625.778      
56            56            -435.348      -236.161      -671.51       -671.51       
57            57            -413.062      -223.201      -636.263      -636.263      
58            58            -488.604      -238.801      -727.405      -727.405      
59            59            -458.844      -237.715      -696.559      -696.559      
60            60            -463.954      -231.358      -695.312      -695.312      
61            61            -478.482      -239.624      -718.106      -718.106      
62            62            -424.588      -236.584      -661.173      -661.173      
63            63            -460.92       -243.997      -704.916      -704.916      
64            64            -469.292      -249.038      -718.33       -718.33       
65            65            -515.123      -243.945      -759.068      -759.068      
66            66            -538.626      -242.635      -781.262      -781.262      
67            67            -541.554      -264.381      -805.935      -805.935      
68            68            -604.301      -269          -873.301      -873.301      
69            69            -574.954      -246.745      -821.699      -821.699      
70            70            -434.057      -239.326      -673.383      -673.383      
71            71            -477.469      -250.297      -727.765      -727.765      
72            72            -475.572      -237.778      -713.35       -713.35       
73            73            -469.077      -211.401      -680.478      -680.478      
74            74            -506.881      -220.653      -727.534      -727.534      
75            75            -501.193      -244.946      -746.139      -746.139      
76            76            -481.72       -248.904      -730.625      -730.625      
77            77            -490.273      -271.263      -761.535      -761.535      
78            78            -441.264      -254.451      -695.715      -695.715      
79            79            -469.625      -251.518      -721.142      -721.142      
80            80            -442.368      -234.306      -676.675      -676.675      
81            81            -479.639      -231.212      -710.851      -710.851      
82            82            -486.37       -213.099      -699.468      -699.468      
83            83            -490.691      -239.63       -730.321      -730.321      
84            84            -511.541      -228.478      -740.018      -740.018      
85            85            -384.89       -244.366      -629.255      -629.255      
86            86            -447.912      -257.952      -705.864      -705.864      
87            87            -530.38       -231.697      -762.077      -762.077      
88            88            -455.516      -237.163      -692.679      -692.679      
89            89            -425.166      -230.769      -655.936      -655.936      
90            90            -437.84       -235.142      -672.982      -672.982      
91            91            -413.603      -227.684      -641.287      -641.287      
92            92            -454.55       -234.709      -689.258      -689.258      
93            93            -391.068      -222.741      -613.809      -613.809      
94            94            -364.399      -232.633      -597.032      -597.032      
95            95            -401.717      -242.775      -644.492      -644.492      
96            96            -449.084      -203.03       -652.115      -652.115      
97            97            -531.435      -214.616      -746.05       -746.05       
98            98            -441.863      -238.231      -680.094      -680.094      
99            99            -402.661      -234.442      -637.103      -637.103      
100           100           -469.101      -210.821      -679.922      -679.922      
101           101           -398.572      -221.572      -620.144      -620.144      
102           102           -458.441      -227.129      -685.57       -685.57       
103           103           -440.811      -226.042      -666.854      -666.854      
104           104           -509.859      -229.469      -739.328      -739.328      
105           105           -537.139      -224.82       -761.96       -761.96       
106           106           -618.603      -238.561      -857.164      -857.164      
107           107           -582.792      -219.424      -802.216      -802.216      
108           108           -521.271      -211.19       -732.462      -732.462      
109           109           -458.875      -234.049      -692.924      -692.924      
110           110           -483.881      -216.318      -700.199      -700.199      
111           111           -471.832      -212.199      -684.03       -684.03       
112           112           -477.84       -236.421      -714.261      -714.261      
113           113           -428.717      -229.322      -658.039      -658.039      
114           114           -449.567      -218.332      -667.899      -667.899      
115           115           -491.918      -216.997      -708.914      -708.914      
116           116           -494.196      -201.219      -695.415      -695.415      
117           117           -535.192      -216.432      -751.624      -751.624      
118           118           -549.673      -207.128      -756.8        -756.8        
119           119           -509.911      -222.903      -732.813      -732.813      
120           120           -540.464      -216.496      -756.961      -756.961      
121           121           -535.864      -229.13       -764.994      -764.994      
122           122           -517.508      -223.857      -741.365      -741.365      
123           123           -476.986      -211.257      -688.244      -688.244      
124           124           -518.68       -221.581      -740.26       -740.26       
125           125           -493.981      -225.809      -719.79       -719.79       
126           126           -462.593      -233.802      -696.394      -696.394      
127           127           -497.035      -240.565      -737.599      -737.599      
128           128           -469.218      -228.643      -697.862      -697.862      
129           129           -501.034      -229.119      -730.154      -730.154      
130           130           -433.401      -221.647      -655.047      -655.047      
131           131           -450.629      -223.93       -674.559      -674.559      
132           132           -413.172      -226.527      -639.699      -639.699      
133           133           -414.847      -212.145      -626.992      -626.992      
134           134           -372.418      -218.722      -591.14       -591.14       
135           135           -391.832      -209.118      -600.949      -600.949      
136           136           -405.229      -206.916      -612.145      -612.145      
137           137           -428.475      -209.131      -637.607      -637.607      
138           138           -364.553      -221.602      -586.155      -586.155      
