Frame	Time	Elec	VdW	Nonbond
0	0	-1.6121	-8.2705	-9.8826
1	0.2	-3.7109	-8.8381	-12.549
2	0.4	-4.82	-16.8979	-21.7179
3	0.6	-5.3278	-9.3033	-14.6311
4	0.8	-14.4099	-13.6925	-28.1024
5	1	-20.183	-17.2136	-37.3966
6	1.2	-9.3366	-12.4512	-21.7878
7	1.4	-18.7914	-19.0679	-37.8593
8	1.6	-10.1377	-13.2604	-23.3981
9	1.8	2.7731	-14.3171	-11.544
10	2	-1.3968	-13.3063	-14.7031
11	2.2	-12.9028	-11.8423	-24.7451
12	2.4	-9.469	-12.3152	-21.7842
13	2.6	-1.7234	-9.7905	-11.5139
14	2.8	-2.7925	-10.6868	-13.4793
15	3	9.607	-9.447	0.16
16	3.2	2.4645	-16.7309	-14.2664
17	3.4	10.4523	-8.7692	1.6831
18	3.6	-16.4138	-13.2414	-29.6552
19	3.8	-5.8086	-13.2211	-19.0297
20	4	-2.8674	-12.6188	-15.4862
21	4.2	0.3594	-11.6507	-11.2913
22	4.4	4.4377	-12.0427	-7.605
23	4.6	-8.9499	-12.8678	-21.8177
24	4.8	-9.5276	-20.494	-30.0216
25	5	-15.3398	-29.3057	-44.6455
26	5.2	-30.7941	-29.7498	-60.5439
27	5.4	-23.7228	-24.8905	-48.6133
28	5.6	-29.6345	-23.1765	-52.811
29	5.8	-12.3401	-20.1753	-32.5154
30	6	-33.7811	-19.1777	-52.9588
31	6.2	-2.7144	-24.2673	-26.9817
32	6.4	-31.5551	-28.0641	-59.6192
33	6.6	-16.4228	-19.6579	-36.0807
34	6.8	-25.4029	-32.119	-57.5219
35	7	-45.0908	-25.8192	-70.91
36	7.2	-27.5937	-23.6772	-51.2709
37	7.4	-27.681	-20.8528	-48.5338
38	7.6	-9.6799	-21.5655	-31.2454
39	7.8	-10.4894	-21.3464	-31.8358
40	8	-8.6603	-23.7628	-32.4231
41	8.2	-17.3817	-28.2313	-45.613
42	8.4	-14.6548	-29.4363	-44.0911
43	8.6	-44.6765	-27.6983	-72.3748
44	8.8	-28.3291	-24.4877	-52.8168
45	9	-27.4619	-23.3854	-50.8473
46	9.2	-19.2555	-26.3861	-45.6416
47	9.4	-22.4985	-25.0022	-47.5007
48	9.6	-11.3579	-21.6522	-33.0101
49	9.8	-14.3911	-18.7312	-33.1223
50	10	-14.4065	-13.4182	-27.8247
51	10.2	-17.9387	-14.2309	-32.1696
52	10.4	-40.0667	-25.7517	-65.8184
53	10.6	-45.3546	-31.488	-76.8426
54	10.8	-53.618	-36.8049	-90.4229
55	11	-69.3341	-36.1799	-105.514
56	11.2	-67.843	-37.1124	-104.955
57	11.4	-57.3358	-35.9863	-93.3221
58	11.6	-82.1264	-32.1286	-114.255
59	11.8	-65.821	-36.5807	-102.402
60	12	-53.0415	-34.3044	-87.3459
61	12.2	-40.5838	-26.6104	-67.1942
62	12.4	-38.0253	-27.3424	-65.3677
63	12.6	-35.9598	-21.0208	-56.9806
64	12.8	-30.5522	-27.5558	-58.108
65	13	-28.4582	-17.5997	-46.0579
66	13.2	-22.2177	-20.9851	-43.2028
67	13.4	-27.1007	-31.052	-58.1527
68	13.6	-64.5466	-31.4795	-96.0261
69	13.8	-31.1004	-17.3394	-48.4398
