Frame         Time          Elec          VdW           Nonbond       Total         
0             0             -10.9446      -5.9098       -16.8544      -16.8544      
1             1             -5.4731       -5.7188       -11.1919      -11.1919      
2             2             -7.6491       -5.191        -12.8401      -12.8401      
3             3             -3.5143       -3.4927       -7.007        -7.007        
4             4             -3.6986       -5.5412       -9.2398       -9.2398       
5             5             -3.197        -5.4845       -8.6815       -8.6815       
6             6             -4.8015       -6.1546       -10.9561      -10.9561      
7             7             -7.7306       -5.6837       -13.4143      -13.4143      
8             8             -4.6052       -5.8075       -10.4127      -10.4127      
9             9             -4.3972       -6.3669       -10.7641      -10.7641      
10            10            -6.6577       -7.0203       -13.678       -13.678       
11            11            +4.9332       -4.9947       -0.0615       -0.0615       
12            12            +6.2646       -4.0915       +2.1731       +2.1731       
13            13            +1.3049       -4.8643       -3.5594       -3.5594       
14            14            +1.3619       -5.4027       -4.0408       -4.0408       
15            15            +5.5218       -4.0065       +1.5153       +1.5153       
16            16            +2.8895       -5.0171       -2.1276       -2.1276       
17            17            +2.5128       -3.2668       -0.754        -0.754        
18            18            -5.2897       -5.5043       -10.794       -10.794       
19            19            -11.7163      -1.8386       -13.5549      -13.5549      
20            20            -6.4643       -5.7161       -12.1804      -12.1804      
21            21            -0.6725       -5.1032       -5.7757       -5.7757       
22            22            +0.8286       -2.9621       -2.1335       -2.1335       
23            23            +3.8871       -5.9497       -2.0626       -2.0626       
24            24            -0.0836       -4.4901       -4.5737       -4.5737       
25            25            +5.226        -6.078        -0.852        -0.852        
26            26            +1.0738       -5.4654       -4.3916       -4.3916       
27            27            -1.3407       -6.0906       -7.4313       -7.4313       
28            28            -1.5824       -5.468        -7.0504       -7.0504       
29            29            -8.8152       -6.8538       -15.669       -15.669       
30            30            -4.7004       -4.2598       -8.9602       -8.9602       
31            31            -8.4062       -5.2674       -13.6736      -13.6736      
32            32            -4.5238       -3.4265       -7.9503       -7.9503       
33            33            -7.0064       -2.5554       -9.5618       -9.5618       
34            34            -5.5498       -4.3982       -9.948        -9.948        
35            35            -8.8829       -3.3159       -12.1988      -12.1988      
36            36            +3.5134       -3.9729       -0.4595       -0.4595       
37            37            +2.3117       -3.9248       -1.6131       -1.6131       
38            38            -12.5493      -3.6039       -16.1532      -16.1532      
39            39            -7.6027       -2.7679       -10.3706      -10.3706      
40            40            -3.2166       -5.0776       -8.2942       -8.2942       
41            41            -10.2454      -2.1871       -12.4325      -12.4325      
42            42            -4.9863       -3.8771       -8.8634       -8.8634       
43            43            +1.3978       -5.5093       -4.1115       -4.1115       
44            44            -3.8924       -4.5402       -8.4326       -8.4326       
45            45            -0.7316       -4.3865       -5.1181       -5.1181       
46            46            -6.8498       -5.6441       -12.4939      -12.4939      
47            47            -9.6468       -7.9571       -17.6039      -17.6039      
48            48            +1.6784       -8.2137       -6.5353       -6.5353       
49            49            -3.288        -8.2405       -11.5285      -11.5285      
50            50            -2.4693       -8.5213       -10.9906      -10.9906      
51            51            -2.4574       -7.7668       -10.2242      -10.2242      
52            52            +2.8894       -8.0438       -5.1544       -5.1544       
